Form/Track Source,Step Number,Step Title,Question ID,Question Text,Input Type,Options List
"Original Business","Step 02","Why Now","02.1","What brought you here today?","Single Choice (Radio)","We're behind and we know it | We've started experimenting and want a real plan | We're doing well and want to do better | We're not sure — we want an outside read"
"Original Business","Step 02","Why Now","02.2","What changed recently?","Single Choice (Radio)","A competitor moved and we noticed | Our team is stretched thin | Leadership decided AI is a priority this year | Nothing specific — the timing just feels right"
"Original Creator","Step 02","Why Now","02.3","What brought you here today?","Single Choice (Radio)","A platform did something that scared me | I'm growing and I can feel the dependency tightening | I want to take ownership before something happens | I'm curious — I've been hearing about this"
"Original Creator","Step 02","Why Now","02.4","What changed recently?","Single Choice (Radio)","Reach dropped without explanation | A platform changed its rules or its cut | Someone I follow lost their account | Nothing specific — the timing just feels right"
"Original Business","Step 03","Your Profile","03.1","How big is your company?","Single Choice (Radio)","Under 50 people | 50 to 250 people | 250 to 1,000 people | Over 1,000 people"
"Original Business","Step 03","Your Profile","03.2","What does your company do?","Single Choice (Radio)","Makes or moves physical things | Sells professional services or expertise | Serves consumers directly | Builds technology or media"
"Original Business","Step 03","Your Profile","03.3","Where does your company operate?","Single Choice (Radio)","One city or region | National | European or cross-border | Global"
"Original Creator","Step 03","Your Profile","03.4","What is your primary platform or medium?","Single Choice (Radio)","Video-centric (YouTube, TikTok) | Audio-centric (Podcasts, Spotify) | Text-centric (Substack, Newsletter) | Multi-channel mix"
"Original Creator","Step 03","Your Profile","03.5","How large is your audience?","Single Choice (Radio)","Under 5,000 | 5,000 to 50,000 | 50,000 to 500,000 | Over 500,000"
"Original Creator","Step 03","Your Profile","03.6","How long have you been creating?","Single Choice (Radio)","Under a year | One to three years | Three to seven years | Long enough that the platforms have changed under me"
"Original Business","Step 04","Operations","04.1","How is your business organised today?","Single Choice (Radio)","Centralised — one team, one place, one playbook | Decentralised — multiple teams running their own way | Outsourced — most operational work sits with partners | Mixed — some inside, some outside, depending on the task"
"Original Business","Step 04","Operations","04.2","Where does most of the friction live?","Single Choice (Radio)","Front office — sales, marketing, client communication | Back office — admin, finance, reporting, HR | Operations — production, logistics, service delivery | Across the board — repetition everywhere"
"Original Business","Step 04","Operations","04.3","What's holding the change back?","Single Choice (Radio)","We don't know where to start | We've tried things and they didn't stick | Leadership is open, the team isn't ready | We're ready, we just need the right plan"
"Original Creator","Step 04","Operations","04.4","Where does most of your income come from?","Single Choice (Radio)","Platform ad revenue or platform payouts | Brand deals and sponsorships | Direct support from my audience — subscriptions, memberships, tips | Products or services I sell directly"
"Original Creator","Step 04","Operations","04.5","How exposed is your income to platform policy changes?","Single Choice (Radio)","Heavily — if one platform goes down, my income goes with it | Moderately — some direct sales, but heavily reliant on platform traffic | Minimally — my income comes from channels I control directly"
"Original Creator","Step 04","Operations","04.6","What is the most fragile part of your operation?","Single Choice (Radio)","My account itself — one strike and it's over | My reach — the algorithm decides whether I exist | My contact with my audience — I don't own the relationship | My payments and payouts — I rely on platform processors"
"Original Business","Step 05","AI & Workflows","05.1","Which task area contains the most repetitive work?","Multiple Choice (Checkbox)","Communication & Reporting | Customer service | Logistics & Scheduling | Content creation"
"Original Business","Step 05","AI & Workflows","05.2","Which daily task is the biggest treadmill for your team?","Multiple Choice (Checkbox)","Drafting emails & documents | Triaging messages & tasks | Data entry & copy-pasting | Searching for files & info"
"Original Business","Step 05","AI & Workflows","05.3","What is your current experience with AI tools?","Single Choice (Radio)","Nothing yet | Individuals on the team use AI tools on their own | We've run pilots on specific use cases | AI is already woven into how we work"
"Original Business","Step 05","AI & Workflows","05.4","What would you want AI to do for your business ideally?","Multiple Choice (Checkbox)","Give the team back time for higher-value work | Help us scale without hiring proportionally | Improve consistency across the company | Run the operational layer of our business for us"
"Original Creator","Step 05","AI & Workflows","05.5","Which part of your creative process is most time-consuming?","Multiple Choice (Checkbox)","Everything around the content (logistics) | Talking to my audience | Running the business | Making the core content"
"Original Creator","Step 05","AI & Workflows","05.6","Which daily/weekly task do you find most repetitive?","Multiple Choice (Checkbox)","Repurposing content | Replying to DMs and comments | Reporting & analytics | None, each day is unique"
"Original Creator","Step 05","AI & Workflows","05.7","What is your current experience with AI tools?","Single Choice (Radio)","Nothing yet — I haven't found the right way in | Writing and editing tools, occasionally | Production tools — visuals, voice, transcripts | I'm building real workflows around AI already"
"Original Creator","Step 05","AI & Workflows","05.8","Where would automation help you most?","Multiple Choice (Checkbox)","Give me back time to make better work | Help me stay consistent without burning out | Let me reply to my audience properly without it eating my life | Run the operational layer of my business for me"
"Original Business","Step 06","Data & Sovereignty","06.1","How do you want to run your AI?","Single Choice (Radio)","Public AI is fine — convenience matters more than privacy | Public AI is acceptable for non-sensitive work | Private setup for anything that touches our business | Fully in-house, on our infrastructure, with maximum privacy"
"Original Business","Step 06","Data & Sovereignty","06.2","Where does your business data live?","Single Choice (Radio)","Mostly spreadsheets and email | Across business tools that don't really talk | Central system most of the company uses | Unified data layer we own and control"
"Original Business","Step 06","Data & Sovereignty","06.3","Do third parties have access to your data?","Single Choice (Radio)","Several, not entirely sure who has what | A few, clearly scoped | Rarely, under contract | None"
"Original Creator","Step 06","Data & Sovereignty","06.4","If your main platform shut you down tomorrow, what could you keep?","Single Choice (Radio)","Almost nothing — my audience lives there | My subscriber emails, if I've been collecting them | Most of it — I have backups and direct channels | Everything — my platform is one channel among many I control"
"Original Creator","Step 06","Data & Sovereignty","06.5","How do you feel about your dependence on major platforms?","Single Choice (Radio)","They're necessary, and I try not to think about it | I'd leave if there were somewhere to go | I'm actively trying to reduce my exposure | I want to own my presence end to end"
"Original Creator","Step 06","Data & Sovereignty","06.6","How do you want to manage your audience data and AI?","Single Choice (Radio)","Public AI is fine | Dedicated hosting (e.g. VPS) — private setup without running own infrastructure | Fully mine — my AI, my data, on infrastructure I control"
"Original Business","Step 07","Looking Ahead","07.1","Where would you like to be twelve months from now? (Select 1 or more)","Multiple Choice (Checkbox)","Clearer on what AI can and can't do for us | Two or three concrete things working in production | AI woven into how the company runs | Fully sovereign — our AI, our data, our infrastructure"
"Original Business","Step 07","Looking Ahead","07.2","How would you like us to reach out?","Single Choice (Radio)","Email is fine | A short call to start | A video meeting | In person, when it makes sense"
"Original Creator","Step 07","Looking Ahead","07.3","Where would you like to be twelve months from now? (Select 1 or more)","Multiple Choice (Checkbox)","Less anxious about the platforms I depend on | Earning more directly from my audience | Running my own publishing and payment infrastructure | Fully sovereign — my audience, my keys, my rules"
"Original Creator","Step 07","Looking Ahead","07.4","How would you like us to reach out?","Single Choice (Radio)","Email is fine | A short call to start | A video meeting | In person, when it makes sense"
"Unified","Step 07","Looking Ahead","07.5","Name *","Text/Other",""
"Unified","Step 07","Looking Ahead","07.6","Anything we should know before we get in touch? (Optional)","Textarea",""
"New Creator","Step 01","Why Now","01.1","What brought you here today?","Single Choice (Radio)","A platform did something that scared me | I'm growing and I can feel the dependency tightening | I want to take ownership before something happens | I'm curious — I want to explore sovereign setups"
"New Creator","Step 01","Why Now","01.2","What changed recently?","Single Choice (Radio)","Reach dropped suddenly without explanation | A platform changed its rules, cuts, or policies | Someone I follow lost their account and business | Nothing specific — the timing just feels right"
"New Creator","Step 02","Audience & Scale","02.1","How large is your audience?","Single Choice (Radio)","Under 5,000 | 5,000 to 50,000 | 50,000 to 500,000 | Over 500,000"
"New Creator","Step 02","Audience & Scale","02.2","Where does most of your income come from?","Single Choice (Radio)","Platform ad revenue or platform payouts | Brand deals and sponsorships | Direct audience support (subscriptions, memberships) | Products, courses, or services I sell directly"
"New Creator","Step 03","Friction & Automation","03.1","What is the most fragile part of your operation?","Single Choice (Radio)","My account itself — one strike and it's over | My reach — the algorithm decides whether I exist | My contact with my audience — I don't own the relationship | My payments and payouts — I rely on platform processors"
"New Creator","Step 03","Friction & Automation","03.2","Where would automation help you most?","Multiple Choice (Checkbox)","Give me back time to make better work | Help me stay consistent without burning out | Reply to DMs and comments automatically | Run the operational layer of my business for me"
"New Creator","Step 04","Sovereignty & AI","04.1","If your main platform shut you down tomorrow, what could you keep?","Single Choice (Radio)","Almost nothing — my audience lives there | My subscriber emails, if I've been collecting them | Most of it — I have backups and direct channels | Everything — my platform is one channel among many I control"
"New Creator","Step 04","Sovereignty & AI","04.2","How do you want to manage your audience data and AI?","Single Choice (Radio)","Public AI is fine — convenience is priority | Dedicated private hosting (VPS) — secure but managed | Fully mine — my AI, my data, on hardware I control"
"New Creator","Step 05","Looking Ahead","05.1","Where would you like to be twelve months from now? (Select 1 or more)","Multiple Choice (Checkbox)","Less anxious about the platforms I depend on | Earning more directly from my audience | Running my own publishing and payment infrastructure | Fully sovereign — my audience, my keys, my rules"
"New Creator","Step 05","Looking Ahead","05.2","How would you like us to reach out?","Single Choice (Radio)","Email is fine | A short call to start | A video meeting | In person, when it makes sense"
"New Creator","Step 05","Looking Ahead","05.3","Name *","Text/Other",""
"New Creator","Step 05","Looking Ahead","05.4","Anything we should know before we get in touch? (Optional)","Textarea",""
"New Business CEO","Step 01","Strategic Context","01.1","What brought you here today?","Single Choice (Radio)","We're behind on AI adoption and we know it | We've started experimenting and want a real pipeline | We're doing well and want to scale our automation | We're not sure — we want an outside read on our readiness"
"New Business CEO","Step 01","Strategic Context","01.2","What changed recently?","Single Choice (Radio)","A competitor launched an AI feature and we noticed | Our operational team is stretched thin | Leadership decided data security & AI is our top priority | Nothing specific — the timing just feels right"
"New Business CEO","Step 02","Scale & Domain","02.1","How big is your company?","Single Choice (Radio)","Under 50 people | 50 to 250 people | 250 to 1,000 people | Over 1,000 people"
"New Business CEO","Step 02","Scale & Domain","02.2","What does your company do?","Single Choice (Radio)","Makes or moves physical goods / logistics | Sells professional services or expertise | Serves consumers directly (B2C / e-commerce) | Builds technology, software, or media platforms"
"New Business CEO","Step 03","Friction & Automation","03.1","Where does most of the operational friction live?","Single Choice (Radio)","Front office — sales, marketing, client communication | Back office — admin, finance, reporting, HR | Operations — production, logistics, client onboarding | Across the board — repetitive work is everywhere"
"New Business CEO","Step 03","Friction & Automation","03.2","What would you want AI to do for your business ideally?","Multiple Choice (Checkbox)","Give the team back time for higher-value work | Help us scale operations without hiring proportionally | Improve quality and compliance consistency | Run the operational layer of our business for us"
"New Business CEO","Step 04","Looking Ahead","04.1","Where would you like to be twelve months from now? (Select 1 or more)","Multiple Choice (Checkbox)","Clearer on what AI can and cannot do for us | Two or three concrete things working in production | AI agents woven into how the company runs daily | Fully sovereign — our private models, data, and hardware"
"New Business CEO","Step 04","Looking Ahead","04.2","How would you like us to reach out?","Single Choice (Radio)","Email is fine | A short call to start | A video meeting | In person, when it makes sense"
"New Business CEO","Step 04","Looking Ahead","04.3","Name *","Text/Other",""
"New Business CEO","Step 04","Looking Ahead","04.4","Anything we should know before we get in touch? (Optional)","Textarea",""
"New Business CTO","Step 01","Data & Systems","01.1","Where is your primary operational data stored?","Single Choice (Radio)","Cloud CRMs & SaaS (HubSpot, Notion, Salesforce) | Managed Databases (RDS, PostgreSQL, SQL Server) | Legacy On-Premises (Local network attached storage, local file servers) | Distributed Spreadsheets (Excel / Google Sheets across teams)"
"New Business CTO","Step 01","Data & Systems","01.2","Which operational tools are critical to your team treadmill?","Multiple Choice (Checkbox)","Communication Suites (Slack, MS Teams) | Task & Project Management (Jira, Monday, Trello) | Customer Support Tools (Zendesk, Intercom) | Document Storage (Google Drive, SharePoint)"
"New Business CTO","Step 02","Model & Privacy","02.1","Which LLMs or AI APIs do you currently run in production or testing?","Single Choice (Radio)","Public Commercial APIs (GPT-4, Claude, Gemini) | Hosted Enterprise Instances (Azure OpenAI, Vertex AI, Bedrock) | Open-weights / Self-hosted models (Llama 3, Mistral, Qwen) | No active model deployments (Off-the-shelf tools only)"
"New Business CTO","Step 02","Model & Privacy","02.2","What is your posture regarding AI training and data privacy?","Single Choice (Radio)","Convenience Priority: We send data to public APIs if they don't train on it | Hybrid Constraint: We use commercial APIs but mask sensitive client data | Strict Autonomy: Zero data leaves our network. Private model instance required"
"New Business CTO","Step 03","Hosting & Hardware","03.1","What is your preferred hosting architecture for Sovereign stacks?","Single Choice (Radio)","Sovereign VPS: Secure European cloud instances (Hetzner, OVH) | Corporate Private Cloud: Our AWS VPC / GCP / Azure Private Link | Bare-Metal On-Premises: Dedicated co-located server racks | Edge Hardware nodes: Running in physical offices (Mac Studio/NVIDIA RTX)"
"New Business CTO","Step 03","Hosting & Hardware","03.2","Do you have existing hardware resources that can run local inference?","Single Choice (Radio)","Dedicated NVIDIA GPUs (RTX 4090, A100, H100, RTX A6000) | Apple Silicon workstations (M2/M3 Max/Ultra nodes) | Standard CPU instances (No dedicated local GPU inference hardware) | None — We need Native Works to specify and procure hardware"
"New Business CTO","Step 04","Compliance & Verification","04.1","Which compliance frameworks govern your data storage? (Select 1 or more)","Multiple Choice (Checkbox)","GDPR (European Data Privacy) | HIPAA (Healthcare data privacy compliance) | SOC 2 Type II / ISO 27001 Security standards | Internal operational corporate security only"
"New Business CTO","Step 04","Compliance & Verification","04.2","How do you prefer to grant setup engineers deployment access?","Single Choice (Radio)","Direct Remote (Secure VPN, Bastion host, Tailscale, SSH keys) | Co-Working (Screen sharing session under continuous supervision) | Zero-Access (Native Works packages container builds; our team deploys)"
"New Business CTO","Step 04","Compliance & Verification","04.3","Name *","Text/Other",""
"New Business CTO","Step 04","Compliance & Verification","04.4","Core system targets, database versions, or custom constraints? (Optional)","Textarea",""
